제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
비엠더블유코리아(주),BMW 740i,6/20/22,7/5/22,9/30/22,"BMW 자체 품질 조사 결과 2022년 6월 20일부터 2022년 08월 04일까지 제작된 BMW 740i, i7 xdrive60 차량의 주차등에서 제작 결함이 발견되었습니다. 외부 조명등(헤드라이트/방향지시등/주간주행등/차폭등)을 제어하는 소프트웨어 오류로 인해 주차등을 작동시킬 경우 차량 전면부 그릴 등화가 소등되지 않고 점등되어, '자동차 및 자동차 부품의 성능과 기준에 관한 규칙' 제 40조의 3(주차등)의 별표 6의 32 작동기준을 충족하지 못하는 것으로 확인되었습니다."
(주)에프엠케이,페라리Roma,1/1/20,6/30/22,10/4/22,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,페라리F8Spider,1/1/20,6/30/22,10/4/22,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,페라리F8Tributo,1/1/19,6/30/22,10/4/22,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,페라리PortofinoM,1/1/21,6/30/22,10/4/22,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,페라리Portofino,1/1/18,12/31/20,10/4/22,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,페라리812Competizione,1/1/22,6/30/22,10/4/22,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,페라리812GTS,1/1/20,6/30/22,10/4/22,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,페라리812Superfast,1/1/17,12/31/21,10/4/22,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,페라리488PistaSpider,1/1/19,12/31/20,10/4/22,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,페라리488Pista,1/1/18,12/31/20,10/4/22,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,페라리GTC4LussoT,1/1/17,12/31/19,10/4/22,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,페라리GTC4Lusso,1/1/17,12/31/19,10/4/22,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,페라리FF,1/1/11,12/31/16,10/4/22,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,페라리F12tdf,1/1/16,12/31/16,10/4/22,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,페라리F12Berlinetta,1/1/13,12/31/17,10/4/22,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,페라리캘리포니아T,1/1/14,12/31/17,10/4/22,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,페라리캘리포니아,1/1/09,12/31/14,10/4/22,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,LaFerrari,1/1/14,12/31/15,10/4/22,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,페라리612스카글리에티,1/1/08,12/31/10,10/4/22,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,페라리F430스쿠데리아,1/1/08,12/31/09,10/4/22,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,페라리F430스파이더,1/1/07,12/31/09,10/4/22,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)에프엠케이,페라리F430,1/1/07,12/31/09,10/4/22,브레이크 오일 리저버 탱크 캡에서 대기압을 유지하기 위한 공기통로의 불량으로 브레이크 오일 리저버 탱크 내부의 대기압 유지가 제대로 되지 않아 진공이 형성될 가능성이 있습니다.
(주)재규어랜드로버코리아,더 뉴 레인지로버 D350 LWB,5/10/22,6/7/22,10/4/22,당사에서 수입한‘더 뉴 레인지로버’일부 차량의 제조 과정에서 배기가스 후처리장치(DPF)의 연결부 연결나사가 제대로 조여져 있지 않거나 나사 일부가 누락되어 엔진실로부터 배기가스 배출 시 연결부가 벌어져 뜨거운 배기가스가 방출될 가능성이 있음.
(주)재규어랜드로버코리아,더 뉴 레인지로버 D350 SWB,1/26/22,6/7/22,10/4/22,당사에서 수입한‘더 뉴 레인지로버’일부 차량의 제조 과정에서 배기가스 후처리장치(DPF)의 연결부 연결나사가 제대로 조여져 있지 않거나 나사 일부가 누락되어 엔진실로부터 배기가스 배출 시 연결부가 벌어져 뜨거운 배기가스가 방출될 가능성이 있음.
(주)재규어랜드로버코리아,디펜더 110 P300,1/17/22,2/18/22,10/4/22,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)재규어랜드로버코리아,디펜더 110 D300,1/14/22,2/23/22,10/4/22,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)재규어랜드로버코리아,디펜더 110 D250,1/14/22,2/11/22,10/4/22,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)재규어랜드로버코리아,디펜더 90 D250,1/18/22,1/20/22,10/4/22,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)재규어랜드로버코리아,레인지로버 스포츠 SVR,1/7/22,2/3/22,10/4/22,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)재규어랜드로버코리아,레인지로버 스포츠 P360,1/11/22,2/3/22,10/4/22,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)재규어랜드로버코리아,레인지로버 스포츠 D300,1/17/22,2/22/22,10/4/22,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)재규어랜드로버코리아,디스커버리 P360,1/21/22,2/21/22,10/4/22,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)재규어랜드로버코리아,디스커버리 D300,1/20/22,2/18/22,10/4/22,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)재규어랜드로버코리아,디스커버리 D250,1/14/22,1/24/22,10/4/22,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)재규어랜드로버코리아,디스커버리 스포츠 P250,1/27/22,2/23/22,10/4/22,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)재규어랜드로버코리아,재규어 F-Type P300 Convertible,2/16/22,2/22/22,10/4/22,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)재규어랜드로버코리아,재규어 F-PACE D200,2/28/22,3/10/22,10/4/22,"당사에서 수입한 ‘재규어 F-PACE, 재규어 F-Type Convertible, 디스커버리 스포츠, 디스커버리, 레인지로버 스포츠, 디펜더 90 및 디펜더 110’ 일부 차량에서 1열 좌석안전띠 리트랙터 내 손상된 프리텐셔너 튜브가 장착되었을 가능성이 있음. * 리트랙터 : 좌석안전띠 중 띠의 일부 또는 전체를 수납하는 장치 * 프리텐셔너 : 충돌 순간 안전띠의 느슨함을 방지하기 위한 목적으로 안전띠를 감아주기 위해 추가적으로 설치하는 외부 또는 내부 장치"
(주)다산중공업,다산중공업 CT 290S 등 6개 모델 고소작업차,8/26/15,3/30/18,10/4/22,㈜다산중공업에서는 CT290S 등 6개 모델의 후미 마운팅볼트가 반복 피로하중에 대한 설계오류로 마운팅볼트가 파손되고 그로 인하여 후미 구조물에 크랙과 파손이 발생할수 있는 결함이 발견되어 이를 시정조치 하고자 합니다.
한국토요타자동차(주),렉서스 NX450h+,4/22/21,5/24/22,10/6/22,"차선 유지 보조장치(LTA*)의 소프트웨어 오류로, 장치 작동 시 핸들의 중립위치가 어긋나 차선 유지 보조가 정상적으로 이루어지지 않을 가능성이 있으며, 이 경우 「자동차 및 자동차부품의 성능과 기준에 관한 규칙」제89조의 규정을 만족하지 않을 수 있음. *LTA(차선 추적 어시스트): 레이더 크루즈 컨트롤 작동 중 차선 유지에 필요한 핸들 조향을 보조하는 장치"
한국토요타자동차(주),렉서스 NX350h,4/22/21,5/24/22,10/6/22,"차선 유지 보조장치(LTA*)의 소프트웨어 오류로, 장치 작동 시 핸들의 중립위치가 어긋나 차선 유지 보조가 정상적으로 이루어지지 않을 가능성이 있으며, 이 경우 「자동차 및 자동차부품의 성능과 기준에 관한 규칙」제89조의 규정을 만족하지 않을 수 있음. *LTA(차선 추적 어시스트): 레이더 크루즈 컨트롤 작동 중 차선 유지에 필요한 핸들 조향을 보조하는 장치"
기아주식회사,스포티지(NQ5),7/5/21,5/25/22,10/6/22,2열 좌석 하부 전기배선의 경로가 정상 경로에서 벗어나 폴드&다이브 기능 사용 시 좌석 하부 프레임과 전기배선 간섭으로 배선이 손상되어 발열 및 좌석 화재 가능성
기아주식회사,쏘렌토R(XM페이스리프트),6/29/12,8/21/14,10/6/22,쏘렌토R (XM 페이스리프트) 디젤 엔진 장착 차량에서 전기식 보조 히터(PTC) 커넥터 전기배선 고정위치 불량으로 일부 차량 운행시 커넥터 단자 손상으로 인해 차량 화재 발생 가능성이 있는 결함이 확인
기아주식회사,니로 플러스(DE PBV),5/10/22,9/5/22,10/6/22,에어백 제어장치(ACU) 설계로직 미흡으로 인해 충돌 사고 시 모든 에어백(정면/측면/커튼/무릎) 및 안전띠 프리텐셔너가 전개되지 않아 탑승자 상해 발생 가능성 - 에어백 제어장치(ACU) 설계로직 미흡으로 차량 시동시 에어백시스템이 간헐적으로 정상 동작되지 않음
메르세데스벤츠코리아(주),GLE 450 4MATIC,8/19/19,8/19/19,10/7/22,공급업체의 생산 오류로 인하여 후방 도어 트림 바 고정 클립이 사양에 맞지 않아 고정 클립의 잡아주는 힘이 너무 작아 트림 바가 분리될 수 있습니다.
메르세데스벤츠코리아(주),GLE 400 d 4MATIC,9/18/18,9/18/18,10/7/22,공급업체의 생산 오류로 인하여 후방 도어 트림 바 고정 클립이 사양에 맞지 않아 고정 클립의 잡아주는 힘이 너무 작아 트림 바가 분리될 수 있습니다.
메르세데스벤츠코리아(주),GLE 300 d 4MATIC,2/4/19,2/4/19,10/7/22,공급업체의 생산 오류로 인하여 후방 도어 트림 바 고정 클립이 사양에 맞지 않아 고정 클립의 잡아주는 힘이 너무 작아 트림 바가 분리될 수 있습니다.
화창상사(주),SPRINGFIELD DARK HORSE,10/27/17,5/7/19,10/7/22,차량제어모듈(VEHICLE CONTROL MODULE) 및 커넥터 접촉 불량(헐거움 및 이탈)인한 주행중 전조등 및 안개등 미점등으로 안전에 지장을 줄 가능성
화창상사(주),SPRINGFIELD,4/7/16,5/7/15,10/7/22,차량제어모듈(VEHICLE CONTROL MODULE) 및 커넥터 접촉 불량(헐거움 및 이탈)인한 주행중 전조등 및 안개등 미점등으로 안전에 지장을 줄 가능성
화창상사(주),CHIEFTAIN LIMITED,5/31/17,6/29/17,10/7/22,차량제어모듈(VEHICLE CONTROL MODULE) 및 커넥터 접촉 불량(헐거움 및 이탈)인한 주행중 전조등 및 안개등 미점등으로 안전에 지장을 줄 가능성
화창상사(주),CHIEFTAIN DARK HORSE,8/17/16,2/2/18,10/7/22,차량제어모듈(VEHICLE CONTROL MODULE) 및 커넥터 접촉 불량(헐거움 및 이탈)인한 주행중 전조등 및 안개등 미점등으로 안전에 지장을 줄 가능성
화창상사(주),CHIEFTAIN,8/22/14,7/20/17,10/7/22,차량제어모듈(VEHICLE CONTROL MODULE) 및 커넥터 접촉 불량(헐거움 및 이탈)인한 주행중 전조등 및 안개등 미점등으로 안전에 지장을 줄 가능성
화창상사(주),CHIEF VINTAGE,10/27/14,6/4/19,10/7/22,차량제어모듈(VEHICLE CONTROL MODULE) 및 커넥터 접촉 불량(헐거움 및 이탈)인한 주행중 전조등 및 안개등 미점등으로 안전에 지장을 줄 가능성
화창상사(주),CHEIF CLASSIC,12/4/14,5/6/15,10/7/22,차량제어모듈(VEHICLE CONTROL MODULE) 및 커넥터 접촉 불량(헐거움 및 이탈)인한 주행중 전조등 및 안개등 미점등으로 안전에 지장을 줄 가능성
메르세데스벤츠코리아(주),스프린터,8/9/18,12/16/20,10/7/22,공급업체 생산 오류로 인하여 후방 브레이크 캘리퍼 내 전자식 주차 브레이크의 피스톤과 모터가 완전하게 씰링되지 않을 수 있습니다.
모토스타코리아(주),JET14 ABS,6/20/19,9/29/20,10/11/22,등화장치(차폭등) 색도기준 미달
모토스타코리아(주),JET14,11/2/17,10/28/20,10/11/22,등화장치(차폭등) 색도기준 미달
포르쉐코리아 주식회사,718,3/9/20,7/28/22,10/11/22,계기판 소프트웨어의 오류로 브레이크 진공펌프의 고장 시 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제13조 제5항에서 정하고 있는 식별부호로 표시가 되지 않습니다.
포르쉐코리아 주식회사,911,5/23/19,10/29/21,10/11/22,계기판 소프트웨어의 오류로 브레이크 진공펌프의 고장 시 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제13조 제5항에서 정하고 있는 식별부호로 표시가 되지 않습니다.
포르쉐코리아 주식회사,마칸,5/25/21,12/20/21,10/11/22,계기판 소프트웨어의 오류로 브레이크 진공펌프의 고장 시 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제13조 제5항에서 정하고 있는 식별부호로 표시가 되지 않습니다.
포르쉐코리아 주식회사,카이엔,7/22/21,11/22/21,10/11/22,계기판 소프트웨어의 오류로 브레이크 진공펌프의 고장 시 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제13조 제5항에서 정하고 있는 식별부호로 표시가 되지 않습니다.
포르쉐코리아 주식회사,파나메라,7/6/20,11/18/21,10/11/22,계기판 소프트웨어의 오류로 브레이크 진공펌프의 고장 시 자동차 및 자동차부품의 성능과 기준에 관한 규칙 제13조 제5항에서 정하고 있는 식별부호로 표시가 되지 않습니다.
스카니아코리아그룹(주),스카니아카고,4/1/21,4/1/21,10/11/22,타이로드 끝 부분에 슬롯이 없는 타이로드가 장착되어 있을 가능성이 있습니다.
스카니아코리아그룹(주),스카니아카고,3/16/21,3/16/21,10/11/22,타이로드 끝 부분에 슬롯이 없는 타이로드가 장착되어 있을 가능성이 있습니다.
스카니아코리아그룹(주),스카니아카고,3/17/21,3/17/21,10/11/22,타이로드 끝 부분에 슬롯이 없는 타이로드가 장착되어 있을 가능성이 있습니다.
스카니아코리아그룹(주),스카니아카고,2/15/21,2/16/21,10/11/22,타이로드 끝 부분에 슬롯이 없는 타이로드가 장착되어 있을 가능성이 있습니다.
스카니아코리아그룹(주),스카니아카고,2/15/21,2/16/21,10/11/22,타이로드 끝 부분에 슬롯이 없는 타이로드가 장착되어 있을 가능성이 있습니다.
스카니아코리아그룹(주),스카니아카고,2/16/21,2/17/21,10/11/22,타이로드 끝 부분에 슬롯이 없는 타이로드가 장착되어 있을 가능성이 있습니다.
스카니아코리아그룹(주),스카니아카고,2/24/21,2/25/21,10/11/22,타이로드 끝 부분에 슬롯이 없는 타이로드가 장착되어 있을 가능성이 있습니다.
스카니아코리아그룹(주),스카니아카고,2/17/21,3/22/21,10/11/22,타이로드 끝 부분에 슬롯이 없는 타이로드가 장착되어 있을 가능성이 있습니다.
스카니아코리아그룹(주),스카니아트랙터,4/12/21,4/12/21,10/11/22,타이로드 끝 부분에 슬롯이 없는 타이로드가 장착되어 있을 가능성이 있습니다.
스카니아코리아그룹(주),스카니아트랙터,2/24/21,4/13/21,10/11/22,타이로드 끝 부분에 슬롯이 없는 타이로드가 장착되어 있을 가능성이 있습니다.
비엠더블유코리아(주),BMW 530e,6/29/21,6/29/21,10/13/22,"자체 품질 조사 결과 2021년 1월 28일 ~ 6월 29일 생산된 330e, 530e 모델 일부에서 제작 결함이 발견되었습니다. 배터리 셀 생산 공정 중 내부 전극이 정상적으로 재단되지 않아 와인딩 과정에서 분리막에 손상이 발생했을 가능성이 있습니다. *와인딩 : 고전압 배터리 셀 내부의 양극재, 분리막, 음극재 등 배터리 소재를 엮어서 돌돌 마는 고전압 배터리 제작 기법"
비엠더블유코리아(주),BMW 330e,1/28/21,1/28/21,10/13/22,"자체 품질 조사 결과 2021년 1월 28일 ~ 6월 29일 생산된 330e, 530e 모델 일부에서 제작 결함이 발견되었습니다. 배터리 셀 생산 공정 중 내부 전극이 정상적으로 재단되지 않아 와인딩 과정에서 분리막에 손상이 발생했을 가능성이 있습니다. *와인딩 : 고전압 배터리 셀 내부의 양극재, 분리막, 음극재 등 배터리 소재를 엮어서 돌돌 마는 고전압 배터리 제작 기법"
비엠더블유코리아(주),BMW 740Le xDrive iPerformance,9/28/17,10/5/17,10/13/22,"스타터 모터의 전원을 공급하는 솔레노이드에 차량 사고 등의 사유로 외부 충격이 가해지거나, 내부 전원 단자를 연결 및 차단시키는 리턴 스프링의 파손이 발생할 수 있습니다."
비엠더블유코리아(주),BMW 740e iPerformance,7/28/16,1/31/19,10/13/22,"스타터 모터의 전원을 공급하는 솔레노이드에 차량 사고 등의 사유로 외부 충격이 가해지거나, 내부 전원 단자를 연결 및 차단시키는 리턴 스프링의 파손이 발생할 수 있습니다."
비엠더블유코리아(주),BMW 530e iPerformance Luxury,6/13/19,6/30/20,10/13/22,"스타터 모터의 전원을 공급하는 솔레노이드에 차량 사고 등의 사유로 외부 충격이 가해지거나, 내부 전원 단자를 연결 및 차단시키는 리턴 스프링의 파손이 발생할 수 있습니다."
비엠더블유코리아(주),BMW 530e,4/24/18,4/24/18,10/13/22,"스타터 모터의 전원을 공급하는 솔레노이드에 차량 사고 등의 사유로 외부 충격이 가해지거나, 내부 전원 단자를 연결 및 차단시키는 리턴 스프링의 파손이 발생할 수 있습니다."
비엠더블유코리아(주),BMW 330e iPerformance,3/11/16,7/16/18,10/13/22,"스타터 모터의 전원을 공급하는 솔레노이드에 차량 사고 등의 사유로 외부 충격이 가해지거나, 내부 전원 단자를 연결 및 차단시키는 리턴 스프링의 파손이 발생할 수 있습니다."
메르세데스벤츠코리아(주),GLC 220 d 4MATIC,9/13/22,9/13/22,10/14/22,조립 공정 오류로 B-필러 내의 와이어링 하니스가 펠트 스트립(felt strip)으로 고정되지 않았을 수 있습니다. 이러한 경우 차량 운행시의 진동으로 와이어링 하니스가 손상될 수 있습니다.
메르세데스벤츠코리아(주),C 200 4MATIC,3/16/21,3/26/21,10/14/22,조립 공정 오류로 인해 연료 호스가 잘못된 경로로 장착되었을 수 있습니다. 스티어링 작동 시 연료 호스가 스티어링 칼럼과 간섭되어 손상될 수 있습니다.
메르세데스벤츠코리아(주),C 300,3/25/21,3/31/21,10/14/22,조립 공정 오류로 인해 연료 호스가 잘못된 경로로 장착되었을 수 있습니다. 스티어링 작동 시 연료 호스가 스티어링 칼럼과 간섭되어 손상될 수 있습니다.
포드세일즈서비스코리아(유),2022년식 Aviator,4/16/22,4/25/22,10/18/22,"일부 2022년식 Aviator 및 Explorer 차량은 프론트 사이드 멤버*의 강성 부족으로 충돌 시 탑승자가 상해를 입거나 엔진룸에 연료가 누출되는 안전 기준(FMVSS, 연방 자동차 안전 표준) 부적합 사항이 확인되었습니다."
